DATE,Storage in Mcft,inflow in cusec,Discharge in cusec
01.01.15,1197.45,75,74+0
02.01.15,1197.45,85,74+0
03.01.15,1185.27,25,74+91
04.01.15,1173.10,65,73+139
05.01.15,1160.92,65,61+139
06.01.15,1148.75,75,74+139
07.01.15,1136.57,75,62+150
08.01.15,1124.40,75,69+150
09.01.15,1100.05,75,74+275
10.01.15,1075.70,75,74+275
11.01.15,1039.17,50,74+399
12.01.15,1002.65,50,74+350
13.01.15,978.20,50,74+245
14.01.15,956.70,50,74+220
15.01.15,924.45,50,74+341
16.01.15,881.45,15,74+439
17.01.15,859.95,55,74+225
18.01.15,859.95,350,74+255
19.01.15,902.95,650,74+80
20.01.15,945.95,825,74+250
21.01.15,990.42,825,74+240
22.01.15,1039.17,875,66+240
23.01.15,1087.87,875,74+240
24.01.15,1124.40,875,74+375
25.01.15,1197.45,995,74+76
26.01.15,1282.67,1140,74+76
27.01.15,1331.35,890,74+235
28.01.15,1355.65,685,74+315
29.01.15,1367.80,575,74+350
30.01.15,1379.95,575,71+360
31.01.15,1379.95,195,72+120
01.02.15,1379.95,195,74+110
02.02.15,1379.95,156,74+71
03.02.15,1379.95,155,74+66
04.02.15,1379.95,85,74+0
05.02.15,1379.95,85,74+0
06.02.15,1379.95,85,74+0
07.02.15,1404.25,365,74+0
08.02.15,1465.00,780,74+0
09.02.15,1465.00,150,74+75
10.02.15,1465.00,135,74+55
11.02.15,1465.00,135,74+55
12.02.15,1465.00,115,74+25
13.02.15,1452.85,15,74+45
14.02.15,1440.70,0,66+0
15.02.15,1428.55,0,74+0
16.02.15,1416.40,0,74+0
17.02.15,1404.25,0,74+0
18.02.15,1392.10,0,74+0
19.02.15,1379.95,0,74+0
20.02.15,1367.80,0,73+0
21.02.15,1355.65,0,74+0
22.02.15,1345.50,0,74+0
23.02.15,1331.65,0,74+0
24.02.15,1319.20,0,74+0
25.02.15,1307.02,0,74+0
26.02.15,1294.85,0,42+0
27.02.15,1282.67,0,74+0
28.02.15,1270.50,0,74+0
01.03.15,1258.32,0,68+0
02.03.15,1246.15,0,74+0
03.03.15,1233.97,0,74+0
04.03.15,1221.50,0,74+0
05.03.15,1209.62,0,74+0
06.03.15,1197.45,0,74+0
07.03.15,1185.27,0,74+0
08.03.15,1173.10,0,64+0
09.03.15,1160.92,0,74+0
10.03.15,1148.75,0,74+0
11.03.15,1148.75,0,74+0
12.03.15,1124.40,0,74+0
13.03.15,1112.22,0,74+0
14.03.15,1100.05,0,74+0
15.03.15,1075.70,0,74+0
16.03.15,1063.52,0,74+0
17.03.15,1051.35,0,74+0
18.03.15,1039.17,0,74+0
19.03.15,1027.00,0,74+0
20.03.15,1014.82,0,74+0
21.03.15,1002.65,0,74+0
22.03.15,990.42,0,74+0
23.03.15,967.45,0,71+0
24.03.15,956.70,0,74+0
25.03.15,945.95,0,74+0
26.03.15,935.20,0,74+0
27.03.15,913.70,0,74+0
28.03.15,902.95,0,74+0
29.03.15,881.45,0,74+0
30.03.15,870.70,0,74+0
31.03.15,849.20,0,74+0
01.04.15,838.45,0,74+0
02.04.15,816.95,0,74+0
03.04.15,806.20,0,74+0
04.04.15,784.70,0,74+0
05.04.15,773.45,0,74+0
06.04.15,752.45,0,74+0
07.04.15,741.70,0,74+0
08.04.15,720.20,0,74+0
09.04.15,712.00,0,74+0
10.04.15,695.60,0,74+0
11.04.15,687.40,0,74+0
12.04.15,671.00,0,74+0
13.04.15,662.80,0,74+0
14.04.15,646.40,0,74+0
15.04.15,638.20,0,74+0
16.04.15,630.50,0,61+0
17.04.15,622.80,0,66+0
18.04.15,614.10,0,74+0
19.04.15,605.40,0,74+0
20.04.15,597.20,0,74+0
21.04.15,589.00,0,74+0
22.04.15,580.80,0,69+0
23.04.15,572.60,0,74+0
24.04.15,556.20,0,74+0
25.04.15,572.60,0,72+0
26.04.15,572.60,85,74+0
27.04.15,580.80,155,74+0
28.04.15,605.40,360,74+0
29.04.15,638.20,475,74+0
30.04.15,703.80,830,67+0
01.05.15,790.95,400,60+0
02.05.15,784.70,680,74+0
03.05.15,935.20,1815,74+0
04.05.15,1100.05,2100,74+0
05.05.15,1270.50,2200,74+0
06.05.15,1379.95,1450,74+0
07.05.15,1465.00,1100,74+0
08.05.15,1465.00,120,74+0
09.05.15,1465.00,100,72+0
10.05.15,1465.00,85,73+0
11.05.15,1465.00,85,74+0
12.05.15,1440.70,0,74+0
13.05.15,1428.55,0,66+0
14.05.15,1416.40,0,68+0
15.05.15,1404.25,0,74+0
16.05.15,1392.10,0,74+0
17.05.15,1379.95,0,74+0
18.05.15,1367.80,0,74+0
19.05.15,1355.65,0,70+0
20.05.15,1343.50,0,74+0
21.05.15,1331.35,0,74+0
22.05.15,1319.20,0,70+0
23.05.15,1307.05,0,74+0
24.05.15,1294.85,0,74+0
25.05.15,1282.67,0,74+0
26.05.15,1270.50,0,74+0
27.05.15,1258.32,0,74+0
28.05.15,1294.85,550,74+0
29.05.15,1319.20,375,74+0
30.05.15,1307.02,0,74+0
31.05.15,1294.85,0,74+0
01.06.15,1282.67,0,74+0
02.06.15,1270.50,0,74+0
03.06.15,1258.32,0,73+0
04.06.15,1246.15,0,74+0
05.06.15,1233.97,0,74+0
06.06.15,1246.15,0,74+0
07.06.15,1233.97,0,74+0
08.06.15,1221.80,0,74+0
09.06.15,1209.62,0,74+0
10.06.15,1197.45,0,74+0
11.06.15,1197.45,0,74+0
12.06.15,1185.27,0,74+0
13.06.15,1173.10,0,74+0
14.06.15,1160.92,0,74+0
15.06.15,1148.75,0,74+0
16.06.15,1136.57,0,74+0
17.06.15,1124.40,0,51+0
18.06.15,1112.22,0,74+0
19.06.15,1112.22,0,73+0
20.06.15,1100.05,0,74+0
21.06.15,1087.87,0,74+0
22.06.15,1075.70,0,74+0
23.06.15,1063.52,0,74+0
24.06.15,1051.35,0,74+0
25.06.15,1039.17,0,74+0
26.06.15,1027.00,0,74+0
27.06.15,1014.82,0,74+0
28.06.15,1002.65,0,74+0
29.06.15,990.42,0,74+0
30.06.15,978.20,0,74+0
01.07.15,967.45,0,74+0
02.07.15,956.70,0,71+0
03.07.15,945.95,0,71+0
04.07.15,935.20,0,71+0
05.07.15,924.45,0,70+0
06.07.15,913.70,0,67+0
07.07.15,902.95,0,69+0
08.07.15,892.20,0,71+0
09.07.15,881.45,0,71+0
10.07.15,870.70,0,70+0
11.07.15,859.95,0,44+0
12.07.15,849.20,0,70+0
13.07.15,838.45,0,70+0
14.07.15,827.70,0,70+0
15.07.15,816.95,0,63+0
16.07.15,806.20,0,70+0
17.07.15,795.45,0,70+0
18.07.15,784.70,0,70+0
19.07.15,773.95,0,70+0
20.07.15,763.20,0,70+0
21.07.15,752.45,0,70+0
22.07.15,741.70,0,70+0
23.07.15,730.95,0,70+0
24.07.15,720.20,0,70+0
25.07.15,712.00,0,70+0
26.07.15,703.80,0,68+0
27.07.15,695.60,0,70+0
28.07.15,687.40,0,70+0
29.07.15,679.20,0,65+0
30.07.15,671.00,0,70+0
31.07.15,662.80,0,70+0
01.08.15,654.60,0,70+0
02.08.15,646.40,0,67+0
03.08.15,638.70,0,70+0
04.08.15,630.50,0,70+0
05.08.15,622.80,0,70+0
06.08.15,614.10,0,70+0
07.08.15,605.40,0,70+0
08.08.15,597.20,0,70+0
09.08.15,589.00,0,70+0
10.08.15,580.80,0,70+0
11.08.15,589.00,200,70+0
12.08.15,589.00,110,70+0
13.08.15,589.00,110,70+0
14.08.15,589.00,80,68+0
15.08.15,589.00,90,70+0
16.08.15,605.40,290,70+0
17.08.15,638.20,510,70+0
18.08.15,671.00,510,70+0
19.08.15,687.40,260,60+0
20.08.15,703.80,250,70+0
21.08.15,741.70,480,70+0
22.08.15,784.70,585,70+0
23.08.15,849.20,850,69+0
24.08.15,870.70,350,70+0
25.08.15,872.20,350,70+0
26.08.15,913.70,350,70+0
27.08.15,924.45,200,70+0
28.08.15,935.20,200,70+0
29.08.15,945.95,200,70+0
30.08.15,956.70,200,70+0
31.08.15,967.45,200,70+0
01.09.15,967.45,100,70+0
02.09.15,967.45,85,70+0
03.09.15,967.45,80,70+0
04.09.15,967.45,430,70+315
05.09.15,945.95,200,70+325
06.09.15,924.45,140,71+317
07.09.15,902.95,150,71+293
08.09.15,881.45,70,71+268
09.09.15,849.20,60,71+325
10.09.15,816.95,110,70+320
11.09.15,795.45,150,71+327
12.09.15,784.70,250,72+310
13.09.15,763.20,100,72+275
14.09.15,741.70,90,72+250
15.09.15,720.20,100,72+260
16.09.15,703.86,125,71+280
17.09.15,703.80,130,72+55
18.09.15,703.80,125,72+55
19.09.15,703.80,155,72+80
20.09.15,720.20,290,72+88
21.09.15,741.70,390,72+88
22.09.15,763.20,405,72+70
23.09.15,795.45,520,72+75
24.09.15,827.70,585,62+155
25.09.15,859.95,602,72+160
26.09.15,881.45,520,70+160
27.09.15,902.95,495,72+152
28.09.15,913.70,212,72+0
29.09.15,913.70,125,66+56
30.09.15,924.45,330,72+125
01.10.15,924.45,430,71+292
02.10.15,935.20,480,72+292
03.10.15,945.95,322,72+120
04.10.15,956.70,322,72+126
05.10.15,967.45,225,72+26
06.10.15,975.20,202,72+0
07.10.15,990.42,322,72+102
08.10.15,1014.82,218,72+0
09.10.15,1014.82,218,72+0
10.10.15,1014.82,304,72+248
11.10.15,1014.82,440,73+367
12.10.15,1014.82,102,72+30
13.10.15,1002.65,0,72+0
14.10.15,1002.65,260,74+186
15.10.15,1014.82,365,74+145
16.10.15,1014.82,210,74+115
17.10.15,1014.82,215,69+135
18.10.15,1014.82,210,73+130
19.10.15,1014.82,75,73+0
20.10.15,1014.82,70,74+0
21.10.15,1002.65,0,75+0
22.10.15,1002.65,92,75+0
23.10.15,1002.65,83,75+0
24.10.15,1014.82,215,75+0
25.10.15,1014.82,80,74+0
26.10.15,1014.82,69,75+0
27.10.15,1002.65,0,76+0
28.10.15,1002.65,70,74+0
29.10.15,1002.65,80,76+0
30.10.15,1002.65,85,76+0
31.10.15,990.42,70,76+95
01.11.15,978.20,0,76+0
02.11.15,978.20,268,76+190
03.11.15,978.20,254,76+175
04.11.15,967.45,112,76+120
05.11.15,967.45,82,75+0
06.11.15,967.45,66,76+0
07.11.15,967.45,85,74+0
08.11.15,978.20,209,76+0
09.11.15,956.70,65,76+0+235
10.11.15,945.95,6955,65+0+6930
11.11.15,763.20,1810,76+0+1750
12.11.15,741.70,610,76+0
13.11.15,703.80,88,76+0+712
14.11.15,638.20,35,76+0+960
15.11.15,605.40,365,77+0+1050
16.11.15,597.20,1215,74+0+1394
17.11.15,589.00,49,77+0+0
18.11.15,589.00,67,77+0+0
19.11.15,589.00,65,77+0+0
20.11.15,589.00,68,77+0+0
21.11.15,589.00,110,72+0+0
22.11.15,597.20,195,75+0+0
23.11.15,671.00,2400,77+0+1850
24.11.15,671.00,1098,69+0+1012
25.11.15,605.40,485,73+0+1012
26.11.15,572.60,168,75+0+332
27.11.15,572.60,168,75+0+0
28.11.15,564.40,0,77+0+0
29.11.15,556.20,0,77+0+0
30.11.15,572.60,785,40+0+432
01.12.15,572.60,1030,40+0+990
02.12.15,572.60,1990,40+0+1970
03.12.15,539.80,2080,40+0+2390
04.12.15,490.60,1520,40+0+2130
05.12.15,531.60,3140,40+0+2280
06.12.15,572.60,5310,40+0+4658
07.12.15,556.20,4480,56+0+4880
08.12.15,490.60,1970,73+0+3610
09.12.15,490.60,1630,58+0+1560
10.12.15,556.20,985,5+0+156
11.12.15,605.40,722,57+0+0
12.12.15,638.20,525,57+0+0
13.12.15,638.20,72,57+0+0
14.12.15,638.20,76,57+0+0
15.12.15,638.20,75,56+0+0
16.12.15,638.20,69,57+0+0
17.12.15,622.80,55,57+182+0
18.12.15,614.10,155,57+190+0
19.12.15,605.40,148,57+178+0
20.12.15,605.40,375,57+110+0
21.12.15,605.40,175,57+110+0
22.12.15,589.00,155,56+250+0
23.12.15,580.80,148,46+178+0
24.12.15,564.40,145,57+240+0
25.12.15,548.00,152,57+255+0
26.12.15,531.60,145,57+252+0
27.12.15,515.20,130,57+245+0
28.12.15,507.00,85,57+110 +0
29.12.15,498.80,82,57+110+0
30.12.15,490.60,80,57+112+0
31.12.15,482.40,85,40+125+0
